Project.name,Experiment.name,Experiment.date,Colony.name,Colony.country,Colony.latitude,Colony.longitude,Colony.species,Colony.ed5,Colony.ed50,Colony.ed95,BioSample.name,BioSample.collection_date,Observation.condition,Observation.temperature,Observation.timepoint,Observation.pam_value,Publication.title,Publication.year,Publication.doi
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_10,CUW,12.10932,-68.95443,Porites astreoides,30.7,35.54,41.15,22220522_CUW_Curacao_Porites astreoides_10_34.04_420,2222-05-22,Caribbean,34.04,420,0.379,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_11,CUW,12.10932,-68.95443,Porites astreoides,29.89,33.99,38.66,22220522_CUW_Curacao_Porites astreoides_11_34.04_420,2222-05-22,Caribbean,34.04,420,0.335,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_12,CUW,12.10932,-68.95443,Porites astreoides,30.13,33.81,37.95,22220522_CUW_Curacao_Porites astreoides_12_34.04_420,2222-05-22,Caribbean,34.04,420,0.291,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_1,CUW,12.10932,-68.95443,Porites astreoides,30.92,34.19,37.81,22220522_CUW_Curacao_Porites astreoides_1_32.04_420,2222-05-22,Caribbean,32.04,420,0.446,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_2,CUW,12.10932,-68.95443,Porites astreoides,28.79,33.84,39.78,22220522_CUW_Curacao_Porites astreoides_2_32.04_420,2222-05-22,Caribbean,32.04,420,0.46,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_3,CUW,12.10932,-68.95443,Porites astreoides,33.91,35.0,36.13,22220522_CUW_Curacao_Porites astreoides_3_32.04_420,2222-05-22,Caribbean,32.04,420,0.412,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_4,CUW,12.10932,-68.95443,Porites astreoides,29.04,34.25,40.4,22220522_CUW_Curacao_Porites astreoides_4_32.04_420,2222-05-22,Caribbean,32.04,420,0.379,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_5,CUW,12.10932,-68.95443,Porites astreoides,28.82,33.15,38.12,22220522_CUW_Curacao_Porites astreoides_5_32.04_420,2222-05-22,Caribbean,32.04,420,0.355,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_6,CUW,12.10932,-68.95443,Porites astreoides,27.66,33.33,40.17,22220522_CUW_Curacao_Porites astreoides_6_32.04_420,2222-05-22,Caribbean,32.04,420,0.349,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_7,CUW,12.10932,-68.95443,Porites astreoides,32.78,35.21,37.81,22220522_CUW_Curacao_Porites astreoides_7_32.04_420,2222-05-22,Caribbean,32.04,420,0.432,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_8,CUW,12.10932,-68.95443,Porites astreoides,32.8,34.82,36.96,22220522_CUW_Curacao_Porites astreoides_8_32.04_420,2222-05-22,Caribbean,32.04,420,0.39,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_9,CUW,12.10932,-68.95443,Porites astreoides,30.63,34.07,37.9,22220522_CUW_Curacao_Porites astreoides_9_32.04_420,2222-05-22,Caribbean,32.04,420,0.399,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_10,CUW,12.10932,-68.95443,Porites astreoides,30.7,35.54,41.15,22220522_CUW_Curacao_Porites astreoides_10_32.04_420,2222-05-22,Caribbean,32.04,420,0.432,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_11,CUW,12.10932,-68.95443,Porites astreoides,29.89,33.99,38.66,22220522_CUW_Curacao_Porites astreoides_11_32.04_420,2222-05-22,Caribbean,32.04,420,0.408,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_12,CUW,12.10932,-68.95443,Porites astreoides,30.13,33.81,37.95,22220522_CUW_Curacao_Porites astreoides_12_32.04_420,2222-05-22,Caribbean,32.04,420,0.447,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_1,CUW,12.10932,-68.95443,Porites astreoides,30.92,34.19,37.81,22220522_CUW_Curacao_Porites astreoides_1_28.04_420,2222-05-22,Caribbean,28.04,420,0.453,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_2,CUW,12.10932,-68.95443,Porites astreoides,28.79,33.84,39.78,22220522_CUW_Curacao_Porites astreoides_2_28.04_420,2222-05-22,Caribbean,28.04,420,0.551,No publications available,2026,No doi available
Global_Search_Caribbean,Curacao,2222-05-22,Curacao_Porites_astreoides_3,CUW,12.10932,-68.95443,Porites astreoides,33.91,35.0,36.13,22220522_CUW_Curacao_Porites astreoides_3_28.04_420,2222-05-22,Caribbean,28.04,420,0.461,No publications available,2026,No doi available
