Project.name,Experiment.name,Experiment.date,Colony.name,Colony.country,Colony.latitude,Colony.longitude,Colony.species,Colony.ed5,Colony.ed50,Colony.ed95,BioSample.name,BioSample.collection_date,Observation.condition,Observation.temperature,Observation.timepoint,Observation.pam_value,Publication.title,Publication.year,Publication.doi
20241212_MV_MarHE Coral Garden,MarHE Coral Garden,2024-12-12,MarHE_Coral_Garden_PocilloPoritesa_verrucosa_1,MV,3.090909727,72.96750567,PocilloPoritesa verrucosa,35.11,36.45,37.85,20241212_MV_MarHE Coral Garden_PocilloPoritesa verrucosa_1_39.5_T1,2024-12-12,deep,39.5,T1,0.0,No publications available,2026,No doi available
20241212_MV_MarHE Coral Garden,MarHE Coral Garden,2024-12-12,MarHE_Coral_Garden_PocilloPoritesa_verrucosa_2,MV,3.090909727,72.96750567,PocilloPoritesa verrucosa,34.47,36.41,38.46,20241212_MV_MarHE Coral Garden_PocilloPoritesa verrucosa_2_39.5_T1,2024-12-12,deep,39.5,T1,0.0,No publications available,2026,No doi available
20241212_MV_MarHE Coral Garden,MarHE Coral Garden,2024-12-12,MarHE_Coral_Garden_PocilloPoritesa_verrucosa_3,MV,3.090909727,72.96750567,PocilloPoritesa verrucosa,33.46,35.54,37.75,20241212_MV_MarHE Coral Garden_PocilloPoritesa verrucosa_3_39.5_T1,2024-12-12,deep,39.5,T1,0.0,No publications available,2026,No doi available
20241212_MV_MarHE Coral Garden,MarHE Coral Garden,2024-12-12,MarHE_Coral_Garden_PocilloPoritesa_verrucosa_4,MV,3.090909727,72.96750567,PocilloPoritesa verrucosa,36.19,37.28,38.4,20241212_MV_MarHE Coral Garden_PocilloPoritesa verrucosa_4_39.5_T1,2024-12-12,deep,39.5,T1,0.0,No publications available,2026,No doi available
20241212_MV_MarHE Coral Garden,MarHE Coral Garden,2024-12-12,MarHE_Coral_Garden_PocilloPoritesa_verrucosa_5,MV,3.090909727,72.96750567,PocilloPoritesa verrucosa,33.18,35.95,38.95,20241212_MV_MarHE Coral Garden_PocilloPoritesa verrucosa_5_39.5_T1,2024-12-12,deep,39.5,T1,0.0,No publications available,2026,No doi available
20241212_MV_MarHE Coral Garden,MarHE Coral Garden,2024-12-12,MarHE_Coral_Garden_PocilloPoritesa_verrucosa_6,MV,3.090909727,72.96750567,PocilloPoritesa verrucosa,34.63,36.5,38.47,20241212_MV_MarHE Coral Garden_PocilloPoritesa verrucosa_6_39.5_T1,2024-12-12,shallow,39.5,T1,0.0,No publications available,2026,No doi available
20241212_MV_MarHE Coral Garden,MarHE Coral Garden,2024-12-12,MarHE_Coral_Garden_PocilloPoritesa_verrucosa_7,MV,3.090909727,72.96750567,PocilloPoritesa verrucosa,34.07,35.76,37.53,20241212_MV_MarHE Coral Garden_PocilloPoritesa verrucosa_7_39.5_T1,2024-12-12,shallow,39.5,T1,0.0,No publications available,2026,No doi available
20241212_MV_MarHE Coral Garden,MarHE Coral Garden,2024-12-12,MarHE_Coral_Garden_PocilloPoritesa_verrucosa_8,MV,3.090909727,72.96750567,PocilloPoritesa verrucosa,36.37,38.18,40.08,20241212_MV_MarHE Coral Garden_PocilloPoritesa verrucosa_8_39.5_T1,2024-12-12,shallow,39.5,T1,0.071,No publications available,2026,No doi available
20241212_MV_MarHE Coral Garden,MarHE Coral Garden,2024-12-12,MarHE_Coral_Garden_PocilloPoritesa_verrucosa_9,MV,3.090909727,72.96750567,PocilloPoritesa verrucosa,35.58,36.58,37.61,20241212_MV_MarHE Coral Garden_PocilloPoritesa verrucosa_9_39.5_T1,2024-12-12,shallow,39.5,T1,0.006,No publications available,2026,No doi available
20241212_MV_MarHE Coral Garden,MarHE Coral Garden,2024-12-12,MarHE_Coral_Garden_PocilloPoritesa_verrucosa_10,MV,3.090909727,72.96750567,PocilloPoritesa verrucosa,35.7,36.97,38.28,20241212_MV_MarHE Coral Garden_PocilloPoritesa verrucosa_10_39.5_T1,2024-12-12,shallow,39.5,T1,0.0,No publications available,2026,No doi available
