Project,Date,Country,Latitude,Longitude,Site,Condition,Species,Genotype,Temperature,Timepoint,Pam_value
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,3,37.07,420,0.149
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,4,37.07,420,0.197
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,5,37.07,420,0.223
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,6,37.07,420,0.019
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,7,37.07,420,0.055
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,8,37.07,420,0.158
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,9,37.07,420,0.142
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,10,37.07,420,0.131
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,11,37.07,420,0.011
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,12,37.07,420,0.036
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,13,37.07,420,0.197
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,14,37.07,420,0.047
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,1,34.04,420,0.508
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,2,34.04,420,0.479
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,3,34.04,420,0.493
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,4,34.04,420,0.501
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,5,34.04,420,0.473
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,6,34.04,420,0.521
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,7,34.04,420,0.405
Global_Search_Caribbean,22220523,CUW,12.10932,-68.95443,Curacao,Caribbean,Siderastrea siderea,8,34.04,420,0.451
