Project,Date,Country,Latitude,Longitude,Site,Species,Genotype,Condition,Temperature,Timepoint,Pam_value
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,9,shallow,37,T1,0.437
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,10,shallow,37,T1,0.547
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,1,deep,34,T1,0.654
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,2,deep,34,T1,0.633
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,3,deep,34,T1,0.56
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,4,deep,34,T1,0.602
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,5,deep,34,T1,0.551
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,6,shallow,34,T1,0.631
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,7,shallow,34,T1,0.62
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,8,shallow,34,T1,0.637
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,9,shallow,34,T1,0.656
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,10,shallow,34,T1,0.62
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,1,deep,34,T1,0.575
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,2,deep,34,T1,0.567
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,3,deep,34,T1,0.604
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,4,deep,34,T1,0.587
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,5,deep,34,T1,0.573
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,6,shallow,34,T1,0.601
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,7,shallow,34,T1,0.57
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,8,shallow,34,T1,0.588
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,9,shallow,34,T1,0.568
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,10,shallow,34,T1,0.602
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,1,deep,29.5,T1,0.651
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,2,deep,29.5,T1,0.655
