Project,Date,Country,Latitude,Longitude,Site,Species,Genotype,Condition,Temperature,Timepoint,Pam_value
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,1,deep,39.5,T2,0.012
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,2,deep,39.5,T2,0.132
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,3,deep,39.5,T2,0.019
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,4,deep,39.5,T2,0.027
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,5,deep,39.5,T2,0.023
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,6,deep,39.5,T2,0.034
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,7,deep,39.5,T2,0.032
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,8,deep,39.5,T2,0
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,1,deep,37,T2,0.378
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,2,deep,37,T2,0.401
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,3,deep,37,T2,0.538
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,4,deep,37,T2,0.574
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,5,deep,37,T2,0.452
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,6,deep,37,T2,0.344
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,7,deep,37,T2,0.501
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,8,deep,37,T2,0.484
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,1,deep,34,T2,0.579
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,2,deep,34,T2,0.611
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,3,deep,34,T2,0.581
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,4,deep,34,T2,0.602
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,5,deep,34,T2,0.596
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,6,deep,34,T2,0.529
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,7,deep,34,T2,0.584
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,8,deep,34,T2,0.564
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,1,deep,29.5,T2,0.553
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,2,deep,29.5,T2,0.592
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,3,deep,29.5,T2,0.579
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,4,deep,29.5,T2,0.61
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,5,deep,29.5,T2,0.601
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,6,deep,29.5,T2,0.556
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,7,deep,29.5,T2,0.474
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,8,deep,29.5,T2,0.592
